"track_name","artist_id","duration","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre__TIKTOK","genre_TIKTOK DANCE","genre_TIKTOK OPM","genre_TIKTOK PHILIPPINES"
"Best I Ever Had","3TVXtAsR1Inumwj472S9r4",257680,"2019-02-14",0.45,0.441,0.929,5,0.882853566958698,0,0.337,0.204835167274729,0,0.165,0.546,0.666666666666667,0,1,0,0
"ANXIOUS","2rWCIhENZyPVDAeFC0ESWN",175003,"2021-04-30",0.63,0.681,0.621,11,0.729769354550331,1,0.0607,0.293635300878566,0,0.113,0.421,0.185185185185185,0,1,0,0
"Batman","0wHeZY93Ede0g1jXaWsiFS",156431,"2021-02-12",0.77,0.893,0.565,1,0.791989987484355,1,0.268,0.0760749735491647,0,0.0375,0.808,0.166666666666667,0,1,0,0
"Kiss (Never Let Me Go)","4VkqlQl3hGhxjchI34xp2V",259120,"2011-11-29",0.68,0.618,0.652,0,0.855247630967281,1,0.0313,0.0717358761117045,0,0.216,0.507,0.530864197530864,0,1,0,0
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","6fWVd57NKTalqvmjRd2t8Z",192745,"2020-11-06",0.8,0.721,0.745,7,0.8360450563204,0,0.0366,0.15236236105428,1.24e-06,0.372,0.699,0.228395061728395,0,1,0,0
"BOO!","0mYBT2Ek76Szd4MqbCgT5R",133565,"2020-10-16",0.63,0.974,0.157,2,0.453674235651708,1,0.375,0.0393440091948502,0,0.279,0.522,0.376543209876543,0,1,0,0
"Tokyo","1iBxtU5394iPOzmot1FDUD",174117,"2018-05-07",0.65,0.743,0.879,5,0.86433041301627,0,0.0339,0.0731486055099474,0.00141,0.081,0.636,0.296296296296296,0,1,0,0
"Put Your Records On","7MPGCB854Qo4alYMOPkBka",210463,"2020-04-24",0.85,0.399,0.491,6,0.576077239406401,0,0.0538,0.0568013081874228,0.00089,0.11,0.151,0.228395061728395,0,1,0,0
"Jackpot","29gNyhlrTMFgj3Q36tEaEX",167680,"2021-05-14",0.29,0.96,0.73,9,0.800178794922224,1,0.132,0.0745613349081903,0,0.0609,0.768,0.302469135802469,0,1,0,0
"In A Club","4Nl6PVYLwbCFfr3UqQlFtE",180880,"2019-08-16",0.63,0.806,0.861,7,0.711174682639013,1,0.0491,0.0323812714463675,0.696,0.155,0.9,0.425925925925926,0,1,0,0
"I'm a Flirt Remix (feat. T.I. & T-Pain)","2mxe0TnaNL039ysAj51xPQ",330600,"2014-05-19",0.62,0.835,0.571,8,0.790881458966565,0,0.102,0.0722404223253627,0,0.0604,0.902,0.518518518518518,0,1,0,0
"Lovefool","1tqZaCwM57UFKjWoYwMLrw",193893,"1996-09-17",0.67,0.64,0.602,9,0.678920078669766,1,0.0299,0.0651767753341484,0,0.375,0.951,0.358024691358025,0,1,0,0
"Relationship (feat. Future)","50co4Is1HCEo8bhOyUWKpn",215306,"2017-06-16",0.73,0.842,0.597,2,0.734918648310388,1,0.0627,0.00253231744635034,0,0.124,0.298,0.567901234567901,0,1,0,0
"Lotus Flower Bomb (feat. Miguel)","67nwj3Y5sZQLl72VNUHEYE",213253,"2011-10-28",0.59,0.512,0.598,9,0.784158769890935,0,0.115,0.616544877619793,0,0.0881,0.345,0.0987654320987654,0,1,0,0
"Talking to the Moon","0du5cEVh5yTK9QJze8zA0C",217866,"2010-10-05",0.86,0.523,0.606,1,0.791489361702128,0,0.0301,0.516644727315476,0,0.106,0.065,0.567901234567901,0,1,0,0
"Bunx Up","2QeuYhXNA1WNPCeMLNBqIc",215700,"2013-01-01",0.49,0.947,0.805,11,0.811585910960129,0,0.296,0.00806214394804385,0,0.0805,0.637,0.283950617283951,0,1,0,0
"SugarCrash!","4b19vuzlDcNdU4quI7L6sW",80117,"2020-08-25",0.64,0.745,0.74,0,0.726980153763633,1,0.097,0.53480839100717,7.37e-05,0.0936,0.36,0.271604938271605,0,1,0,0
